,date,admin1,admin2,market,latitude,longitude,commodity,unit,priceflag,pricetype,currency,price,usdprice
0,#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
1,15/01/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Maize,1 KG,actual,Wholesale,KES,16.13,0.2235
2,15/01/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Maize,90 KG,actual,Wholesale,KES,1480,20.5041
3,15/01/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,1 KG,actual,Wholesale,KES,33.63,0.4659
4,15/01/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,90 KG,actual,Wholesale,KES,3246,44.9705
5,15/01/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Maize,1 KG,actual,Retail,KES,17,0.2355
6,15/01/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Potatoes,50 KG,actual,Wholesale,KES,1249.99,17.3175
8,15/01/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Beans,1 KG,actual,Retail,KES,39,0.5403
9,15/01/2006,Eastern,Marsabit,Marsabit,2.333333,37.983333,Maize,1 KG,actual,Retail,KES,21,0.2909
10,15/01/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Bread,400 G,actual,Retail,KES,26,0.3602
11,15/01/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,1 KG,actual,Wholesale,KES,15.48,0.2145
12,15/01/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,90 KG,actual,Wholesale,KES,1399,19.3819
13,15/01/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Potatoes,50 KG,actual,Wholesale,KES,664.43,9.2052
15,15/01/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Milk,500 ML,actual,Retail,KES,22,0.3048
16,15/01/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Oil (vegetable),L,actual,Retail,KES,115,1.5932
17,15/01/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,1 KG,actual,Wholesale,KES,42.31,0.5862
18,15/01/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,90 KG,actual,Wholesale,KES,3175,43.9869
19,15/01/2006,North Eastern,Mandera,Mandera,3.936804,41.858383,Maize,1 KG,actual,Retail,KES,30,0.4156
20,15/01/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize,1 KG,actual,Wholesale,KES,14.84,0.2055
21,15/01/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize,90 KG,actual,Wholesale,KES,1320,18.2874
22,15/01/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Potatoes,50 KG,actual,Wholesale,KES,1074.07,14.8803
24,15/01/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans,1 KG,actual,Wholesale,KES,39.61,0.5487
25,15/01/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans,90 KG,actual,Wholesale,KES,4000,55.4165
26,15/01/2006,Rift Valley,Turkana,Lodwar (Turkana),3.116667,35.6,Maize,1 KG,actual,Retail,KES,26,0.3602
27,15/01/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Maize,1 KG,actual,Wholesale,KES,12.96,0.1796
28,15/01/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Maize,90 KG,actual,Wholesale,KES,1192,16.5141
29,15/01/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Beans,1 KG,actual,Wholesale,KES,45.85,0.6353
30,15/01/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Beans,90 KG,actual,Wholesale,KES,2799,38.7777
31,15/02/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Maize,1 KG,actual,Wholesale,KES,16.41,0.2299
32,15/02/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Maize,90 KG,actual,Wholesale,KES,1523,21.3455
33,15/02/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,1 KG,actual,Wholesale,KES,39.48,0.5533
34,15/02/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,90 KG,actual,Wholesale,KES,3400,47.6524
35,15/02/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Maize,1 KG,actual,Retail,KES,18,0.2523
36,15/02/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Potatoes,50 KG,actual,Wholesale,KES,1555.55,21.8017
38,15/02/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Beans,1 KG,actual,Retail,KES,42,0.5886
39,15/02/2006,Eastern,Marsabit,Marsabit,2.333333,37.983333,Maize,1 KG,actual,Retail,KES,22,0.3083
40,15/02/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Bread,400 G,actual,Retail,KES,26,0.3644
41,15/02/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,1 KG,actual,Wholesale,KES,16.41,0.2299
42,15/02/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,90 KG,actual,Wholesale,KES,1488,20.8549
43,15/02/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Potatoes,50 KG,actual,Wholesale,KES,694.44,9.7329
45,15/02/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Milk,500 ML,actual,Retail,KES,25,0.3504
46,15/02/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Oil (vegetable),L,actual,Retail,KES,120,1.6819
47,15/02/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,1 KG,actual,Wholesale,KES,47.1,0.6601
48,15/02/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,90 KG,actual,Wholesale,KES,3485,48.8437
49,15/02/2006,North Eastern,Mandera,Mandera,3.936804,41.858383,Maize,1 KG,actual,Retail,KES,29,0.4064
50,15/02/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize,1 KG,actual,Wholesale,KES,17.83,0.2499
51,15/02/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize,90 KG,actual,Wholesale,KES,1456,20.4064
52,15/02/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Potatoes,50 KG,actual,Wholesale,KES,1184.99,16.6082
54,15/02/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans,1 KG,actual,Wholesale,KES,42.79,0.5998
55,15/02/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans,90 KG,actual,Wholesale,KES,4000,56.0617
56,15/02/2006,Rift Valley,Turkana,Lodwar (Turkana),3.116667,35.6,Maize,1 KG,actual,Retail,KES,28,0.3924
57,15/02/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Maize,1 KG,actual,Wholesale,KES,13.12,0.1839
58,15/02/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Maize,90 KG,actual,Wholesale,KES,1304,18.2761
59,15/02/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Potatoes,50 KG,actual,Wholesale,KES,1038.33,14.5526
61,15/02/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Beans,1 KG,actual,Wholesale,KES,44.02,0.617
62,15/02/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Beans,90 KG,actual,Wholesale,KES,3150,44.1486
63,15/03/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Maize,1 KG,actual,Wholesale,KES,16.98,0.236
64,15/03/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Maize,90 KG,actual,Wholesale,KES,1476,20.5114
65,15/03/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,1 KG,actual,Wholesale,KES,44.69,0.621
66,15/03/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,90 KG,actual,Wholesale,KES,3958.75,55.0132
67,15/03/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Maize,1 KG,actual,Retail,KES,18,0.2501
68,15/03/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Potatoes,50 KG,actual,Wholesale,KES,1722.21,23.9329
70,15/03/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Beans,1 KG,actual,Retail,KES,47,0.6531
71,15/03/2006,Eastern,Marsabit,Marsabit,2.333333,37.983333,Maize,1 KG,actual,Retail,KES,22,0.3057
72,15/03/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Bread,400 G,actual,Retail,KES,26,0.3613
73,15/03/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,1 KG,actual,Wholesale,KES,16.91,0.235
74,15/03/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,90 KG,actual,Wholesale,KES,1500,20.8449
75,15/03/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Potatoes,50 KG,actual,Wholesale,KES,961.11,13.3562
77,15/03/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Milk,500 ML,actual,Retail,KES,25,0.3474
78,15/03/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Oil (vegetable),L,actual,Retail,KES,108,1.5008
79,15/03/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,1 KG,actual,Wholesale,KES,42.31,0.588
80,15/03/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,90 KG,actual,Wholesale,KES,3760,52.2513
81,15/03/2006,North Eastern,Mandera,Mandera,3.936804,41.858383,Maize,1 KG,actual,Retail,KES,27,0.3752
82,15/03/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize,1 KG,actual,Wholesale,KES,14.75,0.205
83,15/03/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize,90 KG,actual,Wholesale,KES,1554.55,21.6029
84,15/03/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Potatoes,50 KG,actual,Wholesale,KES,1872.91,26.0271
86,15/03/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans,1 KG,actual,Wholesale,KES,54.52,0.7577
87,15/03/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans,90 KG,actual,Wholesale,KES,4515,62.7432
88,15/03/2006,Rift Valley,Turkana,Lodwar (Turkana),3.116667,35.6,Maize,1 KG,actual,Retail,KES,27,0.3752
89,15/03/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Maize,90 KG,actual,Wholesale,KES,1162.22,16.1509
90,15/03/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Potatoes,50 KG,actual,Wholesale,KES,875.97,12.173
92,15/03/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Beans,1 KG,actual,Wholesale,KES,50.54,0.7023
93,15/03/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Beans,90 KG,actual,Wholesale,KES,3305,45.9283
94,15/04/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Maize,1 KG,actual,Wholesale,KES,17.17,0.24
95,15/04/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Maize,90 KG,actual,Wholesale,KES,1595,22.303
96,15/04/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,1 KG,actual,Wholesale,KES,43.84,0.613
97,15/04/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,90 KG,actual,Wholesale,KES,3995,55.8624
98,15/04/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Maize,1 KG,actual,Retail,KES,19,0.2657
99,15/04/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Potatoes,50 KG,actual,Wholesale,KES,1555.55,21.7514
101,15/04/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Beans,1 KG,actual,Retail,KES,53,0.7411
102,15/04/2006,Eastern,Marsabit,Marsabit,2.333333,37.983333,Maize,1 KG,actual,Retail,KES,24,0.3356
103,15/04/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Bread,400 G,actual,Retail,KES,26,0.3636
104,15/04/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,1 KG,actual,Wholesale,KES,17.02,0.238
105,15/04/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,90 KG,actual,Wholesale,KES,1540,21.5339
106,15/04/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Potatoes,50 KG,actual,Wholesale,KES,1388.88,19.4208
108,15/04/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Milk,500 ML,actual,Retail,KES,25,0.3496
109,15/04/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Oil (vegetable),L,actual,Retail,KES,110,1.5381
110,15/04/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,1 KG,actual,Wholesale,KES,47.1,0.6586
111,15/04/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,90 KG,actual,Wholesale,KES,4310,60.2671
112,15/04/2006,North Eastern,Mandera,Mandera,3.936804,41.858383,Maize,1 KG,actual,Retail,KES,28,0.3915
113,15/04/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize,90 KG,actual,Wholesale,KES,1520,21.2543
114,15/04/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Potatoes,50 KG,actual,Wholesale,KES,1911.11,26.7231
116,15/04/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans,1 KG,actual,Wholesale,KES,50.15,0.7013
117,15/04/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans,90 KG,actual,Wholesale,KES,4640,64.8815
118,15/04/2006,Rift Valley,Turkana,Lodwar (Turkana),3.116667,35.6,Maize,1 KG,actual,Retail,KES,30,0.4195
119,15/04/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Maize,1 KG,actual,Wholesale,KES,14.19,0.1984
120,15/04/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Maize,90 KG,actual,Wholesale,KES,1277,17.8564
121,15/04/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Potatoes,50 KG,actual,Wholesale,KES,796.1,11.132
123,15/04/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Beans,1 KG,actual,Wholesale,KES,48.6,0.6796
124,15/04/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Beans,90 KG,actual,Wholesale,KES,3060,42.7882
125,15/05/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Maize,90 KG,actual,Wholesale,KES,1739.47,25.454
126,15/05/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,1 KG,actual,Wholesale,KES,39.73,0.5814
127,15/05/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,90 KG,actual,Wholesale,KES,3978.95,58.2245
128,15/05/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Maize,1 KG,actual,Retail,KES,22,0.3219
129,15/05/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Beans,1 KG,actual,Retail,KES,51,0.7463
130,15/05/2006,Eastern,Marsabit,Marsabit,2.333333,37.983333,Maize,1 KG,actual,Retail,KES,22,0.3219
131,15/05/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Bread,400 G,actual,Retail,KES,26,0.3805
132,15/05/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,1 KG,actual,Wholesale,KES,17.71,0.2591
133,15/05/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,90 KG,actual,Wholesale,KES,1624.76,23.7754
134,15/05/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Potatoes,50 KG,actual,Wholesale,KES,1624.99,23.7788
136,15/05/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Milk,500 ML,actual,Retail,KES,25,0.3658
137,15/05/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Oil (vegetable),L,actual,Retail,KES,120,1.756
138,15/05/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,1 KG,actual,Wholesale,KES,49.72,0.7276
139,15/05/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,90 KG,actual,Wholesale,KES,4505,65.9223
140,15/05/2006,North Eastern,Mandera,Mandera,3.936804,41.858383,Maize,1 KG,actual,Retail,KES,25,0.3658
141,15/05/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize,1 KG,actual,Wholesale,KES,18.77,0.2746
142,15/05/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize,90 KG,actual,Wholesale,KES,1720,25.169
143,15/05/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Potatoes,50 KG,actual,Wholesale,KES,1111.1,16.2589
145,15/05/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans,1 KG,actual,Wholesale,KES,48.09,0.7037
146,15/05/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans,90 KG,actual,Wholesale,KES,4543,66.4784
147,15/05/2006,Rift Valley,Turkana,Lodwar (Turkana),3.116667,35.6,Maize,1 KG,actual,Retail,KES,26,0.3805
148,15/05/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Maize,90 KG,actual,Wholesale,KES,1445.26,21.1487
149,15/05/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Potatoes,50 KG,actual,Wholesale,KES,690.05,10.0976
151,15/05/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Beans,1 KG,actual,Wholesale,KES,53.6,0.7843
152,15/05/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Beans,90 KG,actual,Wholesale,KES,3311,48.4504
153,15/06/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Maize,90 KG,actual,Wholesale,KES,1814.75,25.8629
154,15/06/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,1 KG,actual,Wholesale,KES,28.23,0.4022
155,15/06/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,90 KG,actual,Wholesale,KES,2706.25,38.5682
156,15/06/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Maize,1 KG,actual,Retail,KES,22,0.3135
157,15/06/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Beans,1 KG,actual,Retail,KES,53,0.7553
158,15/06/2006,Eastern,Marsabit,Marsabit,2.333333,37.983333,Maize,1 KG,actual,Retail,KES,20,0.285
159,15/06/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Bread,400 G,actual,Retail,KES,26,0.3705
160,15/06/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,1 KG,actual,Wholesale,KES,16.96,0.2417
161,15/06/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,90 KG,actual,Wholesale,KES,1550.91,22.1028
162,15/06/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Potatoes,50 KG,actual,Wholesale,KES,861.1,12.272
164,15/06/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Milk,500 ML,actual,Retail,KES,22,0.3135
165,15/06/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Oil (vegetable),L,actual,Retail,KES,120,1.7102
166,15/06/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,1 KG,actual,Wholesale,KES,33.07,0.4713
167,15/06/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,90 KG,actual,Wholesale,KES,3017,42.9968
168,15/06/2006,North Eastern,Mandera,Mandera,3.936804,41.858383,Maize,1 KG,actual,Retail,KES,22,0.3135
169,15/06/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize,1 KG,actual,Wholesale,KES,19.3,0.275
170,15/06/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize,90 KG,actual,Wholesale,KES,1714,24.4271
171,15/06/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Potatoes,50 KG,actual,Wholesale,KES,586.11,8.3529
173,15/06/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans,1 KG,actual,Wholesale,KES,38.51,0.5488
174,15/06/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans,90 KG,actual,Wholesale,KES,3340,47.6
175,15/06/2006,Rift Valley,Turkana,Lodwar (Turkana),3.116667,35.6,Maize,1 KG,actual,Retail,KES,27,0.3848
176,15/06/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Maize,90 KG,actual,Wholesale,KES,1549,22.0756
177,15/06/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Potatoes,50 KG,actual,Wholesale,KES,450.61,6.4219
179,15/06/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Beans,1 KG,actual,Wholesale,KES,46.06,0.6564
180,15/06/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Beans,90 KG,actual,Wholesale,KES,2978,42.441
181,15/07/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Maize,90 KG,actual,Wholesale,KES,1695,22.9822
182,15/07/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,1 KG,actual,Wholesale,KES,30.15,0.4088
183,15/07/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,90 KG,actual,Wholesale,KES,2750,37.2868
184,15/07/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Maize,1 KG,actual,Retail,KES,22,0.2983
185,15/07/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Beans,1 KG,actual,Retail,KES,51,0.6915
186,15/07/2006,Eastern,Marsabit,Marsabit,2.333333,37.983333,Maize,1 KG,actual,Retail,KES,21,0.2847
187,15/07/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Bread,400 G,actual,Retail,KES,26,0.3525
188,15/07/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,1 KG,actual,Wholesale,KES,18.61,0.2523
189,15/07/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,90 KG,actual,Wholesale,KES,1690.67,22.9235
190,15/07/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Potatoes,50 KG,actual,Wholesale,KES,662.22,8.9789
192,15/07/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Milk,500 ML,actual,Retail,KES,22,0.2983
193,15/07/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Oil (vegetable),L,actual,Retail,KES,115,1.5593
194,15/07/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,1 KG,actual,Wholesale,KES,30.3,0.4108
195,15/07/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,90 KG,actual,Wholesale,KES,2760,37.4224
196,15/07/2006,North Eastern,Mandera,Mandera,3.936804,41.858383,Maize,1 KG,actual,Retail,KES,23,0.3119
197,15/07/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize,90 KG,actual,Wholesale,KES,1533.33,20.7902
198,15/07/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Potatoes,50 KG,actual,Wholesale,KES,455.55,6.1768
200,15/07/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans,1 KG,actual,Wholesale,KES,34.77,0.4715
201,15/07/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans,90 KG,actual,Wholesale,KES,3200,43.3883
202,15/07/2006,Rift Valley,Turkana,Lodwar (Turkana),3.116667,35.6,Maize,1 KG,actual,Retail,KES,26,0.3525
203,15/07/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Maize,90 KG,actual,Wholesale,KES,1550,21.0162
204,15/07/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Potatoes,50 KG,actual,Wholesale,KES,333.32,4.5195
206,15/07/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Beans,1 KG,actual,Wholesale,KES,41.43,0.5618
207,15/07/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Beans,90 KG,actual,Wholesale,KES,2260,30.643
208,15/08/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Maize,90 KG,actual,Wholesale,KES,1131.25,15.6142
209,15/08/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,1 KG,actual,Wholesale,KES,30.59,0.4222
210,15/08/2006,Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,90 KG,actual,Wholesale,KES,2798.75,38.6301
211,15/08/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Maize,1 KG,actual,Retail,KES,21,0.2899
212,15/08/2006,Eastern,Kitui,Kitui,-1.366667,38.016667,Beans,1 KG,actual,Retail,KES,42,0.5797
213,15/08/2006,Eastern,Marsabit,Marsabit,2.333333,37.983333,Maize,1 KG,actual,Retail,KES,22,0.3037
214,15/08/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Bread,400 G,actual,Retail,KES,26,0.3589
215,15/08/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,1 KG,actual,Wholesale,KES,17.5,0.2416
216,15/08/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize,90 KG,actual,Wholesale,KES,1585.75,21.8875
217,15/08/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Potatoes,50 KG,actual,Wholesale,KES,555.55,7.6681
219,15/08/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Milk,500 ML,actual,Retail,KES,20,0.2761
220,15/08/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Oil (vegetable),L,actual,Retail,KES,120,1.6563
221,15/08/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,1 KG,actual,Wholesale,KES,30.59,0.4222
222,15/08/2006,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,90 KG,actual,Wholesale,KES,2888,39.862
223,15/08/2006,North Eastern,Mandera,Mandera,3.936804,41.858383,Maize,1 KG,actual,Retail,KES,23,0.3175
224,15/08/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize,90 KG,actual,Wholesale,KES,1231,16.991
225,15/08/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans,1 KG,actual,Wholesale,KES,30.12,0.4157
226,15/08/2006,Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans,90 KG,actual,Wholesale,KES,2777,38.3299
227,15/08/2006,Rift Valley,Turkana,Lodwar (Turkana),3.116667,35.6,Maize,1 KG,actual,Retail,KES,27,0.3727
228,15/08/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Maize,90 KG,actual,Wholesale,KES,1529.5,21.1111
229,15/08/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Potatoes,50 KG,actual,Wholesale,KES,468.51,6.4667
